_id,Id_NIL,NIL,Titolo di studio,Valori
381,34,Chiaravalle  ,Minori di 6 anni,36
382,35,Lodi - Corvetto  ,Minori di 6 anni,1557
383,36,Scalo Romana  ,Minori di 6 anni,540
384,37,Ex OM - Morivione  ,Minori di 6 anni,412
385,38,Ripamonti  ,Minori di 6 anni,660
386,39,Quintosole  ,Minori di 6 anni,21
387,40,Ronchetto delle Rane  ,Minori di 6 anni,56
388,41,Gratosoglio - Ticinello  ,Minori di 6 anni,741
389,42,Stadera  ,Minori di 6 anni,1528
390,43,Tibaldi  ,Minori di 6 anni,506
391,44,Navigli  ,Minori di 6 anni,888
392,45,S. Cristoforo  ,Minori di 6 anni,669
393,46,Barona  ,Minori di 6 anni,515
394,47,Cantalupa  ,Minori di 6 anni,36
395,48,Ronchetto sul Naviglio  ,Minori di 6 anni,671
396,49,Giambellino  ,Minori di 6 anni,1654
397,50,Tortona  ,Minori di 6 anni,710
398,51,Washington  ,Minori di 6 anni,1519
399,52,Bande Nere  ,Minori di 6 anni,1907
400,53,Lorenteggio  ,Minori di 6 anni,577
401,54,Muggiano  ,Minori di 6 anni,275
402,55,Baggio  ,Minori di 6 anni,1396
403,56,Forze Armate  ,Minori di 6 anni,996
404,57,Selinunte  ,Minori di 6 anni,1209
405,58,De Angeli - Monte Rosa  ,Minori di 6 anni,939
406,59,Tre Torri  ,Minori di 6 anni,51
407,60,S. Siro  ,Minori di 6 anni,628
408,61,Quarto Cagnino  ,Minori di 6 anni,461
409,62,Quinto Romano  ,Minori di 6 anni,158
410,63,Figino  ,Minori di 6 anni,80
411,64,Trenno  ,Minori di 6 anni,125
412,65,Gallaratese  ,Minori di 6 anni,1271
413,66,QT 8,Minori di 6 anni,144
414,67,Portello  ,Minori di 6 anni,330
415,68,Pagano  ,Minori di 6 anni,938
416,69,Sarpi  ,Minori di 6 anni,1646
417,70,Ghisolfa  ,Minori di 6 anni,980
418,71,Villapizzone  ,Minori di 6 anni,2220
419,72,Maggiore - Musocco  ,Minori di 6 anni,249
420,73,Cascina Triulza - Expo  ,Minori di 6 anni,3
421,74,Sacco  ,Minori di 6 anni,3
422,75,Stephenson  ,Minori di 6 anni,0
423,76,Quarto Oggiaro  ,Minori di 6 anni,1495
424,77,Bovisa  ,Minori di 6 anni,666
425,78,Farini  ,Minori di 6 anni,201
426,79,Dergano  ,Minori di 6 anni,1219
427,80,Affori  ,Minori di 6 anni,1404
428,81,Bovisasca  ,Minori di 6 anni,297
429,82,Comasina  ,Minori di 6 anni,601
430,83,Bruzzano  ,Minori di 6 anni,667
431,84,Parco Nord  ,Minori di 6 anni,5
432,85,Parco delle Abbazie  ,Minori di 6 anni,37
433,86,Parco dei Navigli  ,Minori di 6 anni,24
